Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.17628E-7,0.000021763,0.001127972,1,0,0
2.60478E-7,0.000047811,0.001349761,0.999905069,0,0
3.68088E-7,0.000084619,0.001906318,0.999810139,0,0
3.72732E-7,0.000121893,0.001930326,0.999715208,0,0
4.14001E-7,0.000281758,0.002143591,0.999335485,0,0
4.55688E-7,0.000500459,0.002358929,0.998860832,0,0
7.08229E-7,0.001068302,0.003661453,0.998006455,0,0
1.06285E-6,0.00260465,0.005484745,0.996392633,0,0
1.32401E-6,0.005100987,0.006823214,0.994399089,0,0
1.60279E-6,0.01005678,0.008248054,0.991266376,0,0
1.95364E-6,0.025008681,0.010035435,0.983387127,0,0
2.31781E-6,0.050025701,0.011883887,0.972375166,0,0
2.66187E-6,0.100064035,0.01362392,0.953294095,0,0
3.23572E-6,0.200148056,0.016512486,0.921017657,0.002824859,0
3.84392E-6,0.300038318,0.019555541,0.8942472,0.002824859,0
4.55126E-6,0.400348098,0.023071038,0.871558762,0.002824859,0
5.18675E-6,0.500241353,0.026208023,0.852003038,0.002824859,0
5.74111E-6,0.600234394,0.028928116,0.83463072,0.002824859,0
6.30781E-6,0.700145712,0.031693089,0.818872223,0.002824859,0
6.55856E-6,0.750222825,0.032911471,0.811467629,0.002824859,0
6.84444E-6,0.800492167,0.034296868,0.804347826,0.002824859,0
7.36497E-6,0.900582815,0.03680917,0.790962597,0.002824859,0
7.91155E-6,1.000732234,0.039433203,0.778526676,0.002824859,0
8.49022E-6,1.100578796,0.042195718,0.76694513,0.004237288,0
9.12154E-6,1.200119536,0.045191529,0.756217961,0.005649718,0
9.61427E-6,1.300479458,0.047516701,0.746060376,0.008474576,0
1.03053E-5,1.400236215,0.050758562,0.736567306,0.008474576,0
1.09736E-5,1.500511409,0.053872845,0.72764382,0.008474576,0
1.23308E-5,1.750871507,0.060135256,0.707233719,0.008474576,0
1.36877E-5,2.000335198,0.066313954,0.689007025,0.009887006,0
1.49541E-5,2.251029111,0.072007365,0.672394152,0.011299435,0
1.63241E-5,2.500638498,0.078089334,0.65720524,0.011299435,0
1.74458E-5,2.75027434,0.083009836,0.643155496,0.014124294,0
1.8742E-5,3.001720621,0.088630654,0.629960129,0.015536723,0
1.98672E-5,3.251933367,0.093454162,0.617619138,0.019774011,0
2.11487E-5,3.50206281,0.098886198,0.606037593,0.019774011,0
2.24219E-5,3.750169048,0.104219174,0.595215493,0.021186441,0
2.37041E-5,4.001699757,0.109526105,0.584868046,0.021186441,0
2.50141E-5,4.250475271,0.114883682,0.575185115,0.02259887,0
2.63641E-5,4.502151849,0.12033787,0.565881906,0.024011299,0
2.78304E-5,4.750981656,0.126186046,0.557148282,0.025423729,0
2.94735E-5,5.000384669,0.132647832,0.548889311,0.029661017,0
3.10511E-5,5.251749809,0.138762775,0.541010063,0.029661017,0
3.26875E-5,5.500321834,0.145015165,0.533605468,0.029661017,0
3.38263E-5,5.752731917,0.149312882,0.526390735,0.032485876,0
3.50253E-5,6.000964586,0.153791448,0.519555724,0.033898305,0
3.63821E-5,6.250506081,0.158802729,0.512910575,0.035310734,0
3.74623E-5,6.501733142,0.162750491,0.506455288,0.036723164,0
3.90952E-5,6.753753558,0.168647899,0.500189861,0.038135593,0
4.05843E-5,7.001088514,0.173954207,0.494304158,0.040960452,0
4.22026E-5,7.253378109,0.179644713,0.488513385,0.040960452,0
4.42731E-5,7.500342849,0.18681145,0.483102335,0.043785311,0
4.61455E-5,7.753685916,0.193185837,0.477786216,0.04519774,0
4.74873E-5,8.001828338,0.197692671,0.472754889,0.049435028,0
4.90156E-5,8.252978073,0.202765013,0.467818493,0.050847458,0
5.0388E-5,8.501016115,0.20726588,0.463071957,0.056497175,0
5.23222E-5,8.752401186,0.213523204,0.458420353,0.057909605,0
5.36854E-5,9.001818525,0.21787401,0.45395861,0.060734463,0
5.55931E-5,9.253489155,0.223883002,0.449591798,0.063559322,0
5.72527E-5,9.501052909,0.229035489,0.445414847,0.064971751,0
5.85146E-5,9.755638268,0.232908018,0.441237896,0.070621469,0
6.02297E-5,10.005103991,0.238109326,0.437250807,0.070621469,0
6.15886E-5,10.254625116,0.242180457,0.433358648,0.070621469,0
6.31863E-5,10.50378488,0.246911715,0.42956142,0.070621469,0
6.4528E-5,10.752846567,0.250839503,0.425859123,0.072033898,0
6.57478E-5,11.000431879,0.254375118,0.422251756,0.074858757,0
6.75649E-5,11.253848407,0.259580463,0.41864439,0.079096045,0
6.94099E-5,11.50072689,0.264791751,0.415226884,0.084745763,0
7.0661E-5,11.753097745,0.26828427,0.411809379,0.086158192,0
7.1973E-5,12.002866988,0.271910996,0.408486805,0.088983051,0
7.31658E-5,12.256878855,0.27517744,0.40516423,0.09039548,0
7.42302E-5,12.507237803,0.278067362,0.401936586,0.094632768,0
7.54188E-5,12.754218738,0.281267634,0.398803873,0.098870056,0
7.68981E-5,13.005560985,0.285210943,0.39567116,0.101694915,0
7.80675E-5,13.25331393,0.288297746,0.392633378,0.104519774,0
7.90479E-5,13.505001297,0.290865385,0.389595595,0.108757062,0
8.00973E-5,13.751650921,0.293592993,0.386652743,0.110169492,0
