X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,4.666105341701534E-4,82.20360269596168,0.7077032918370383
2.0,2.0,train,2.5340069974726586E-4,59.84951352192622,0.5680090247545417
3.0,3.0,train,2.1101967236653585E-4,51.88069695796649,0.5226624479141625
4.0,4.0,train,1.6901660422208992E-4,39.57828436550314,0.46723639990239013
5.0,5.0,train,2.9680895993320993E-4,66.79857176792734,0.6063151728119978
6.0,6.0,train,1.4079747625902165E-4,30.46277270035454,0.42215895701914125
7.0,7.0,train,5.085362881473282E-4,84.58246065169158,0.7251787234418394
8.0,8.0,train,2.942857905795715E-4,66.1006961013403,0.6042754987607994
9.0,9.0,train,1.9165325409045064E-5,3.09585625293098,0.09045131782603805
10.0,10.0,train,1.815906708373232E-4,43.33306094697078,0.48513330175345754
11.0,11.0,train,5.766220636249957E-5,9.583669855120721,0.23029655382974717
12.0,12.0,train,2.1383785536266222E-4,52.46256102400376,0.5259712608623964
13.0,13.0,train,3.3788838994768206E-4,73.02167992036303,0.6367940389202512
14.0,14.0,train,1.0097570499758578E-4,18.732030149409603,0.3438103893527391
15.0,15.0,train,2.2335997704771122E-4,54.51447482929203,0.5368195529378041
16.0,16.0,train,4.756657985330741E-4,82.88388822589975,0.7116633148668355
17.0,17.0,train,9.69167964669631E-4,97.33615592798937,0.8341318815197375
18.0,18.0,train,7.399084681673494E-5,12.450939220547266,0.2774195011789073
19.0,19.0,train,2.408440989449944E-4,57.71559441799406,0.555497989636634
20.0,20.0,train,3.1041596272817065E-4,69.48767640558172,0.6169621326068642
21.0,21.0,train,3.8035811594005865E-5,6.590248440243727,0.1648312890685075
22.0,22.0,train,3.1302890638390985E-4,69.99226604103578,0.6189410908372653
23.0,23.0,train,2.7044940992813226E-4,62.704294024586936,0.5839100871476661
24.0,24.0,train,1.6366783001369242E-4,38.00064284603989,0.45924053043606805
25.0,25.0,train,7.904154732157924E-5,13.50337044336361,0.2908486819434897
26.0,26.0,train,1.321807884047357E-4,27.757018610839154,0.4068340549554049
27.0,27.0,train,7.880147614611678E-4,95.01686309018382,0.8034941026951171
28.0,28.0,train,1.2977932455290506E-4,27.08479152056809,0.402417097884738
29.0,29.0,train,5.271853685503655E-4,85.77424810717132,0.7322979405653334
30.0,30.0,train,4.281523182479004E-4,80.0030573457811,0.6895977878826323
31.0,31.0,train,2.3180204278607503E-4,56.13235452891176,0.546030377123745
32.0,32.0,train,6.01756532442543E-4,89.69627408629243,0.7574249873622741
33.0,33.0,train,2.570575686098795E-4,60.46441034949458,0.571521280007537
34.0,34.0,train,1.6066206946753394E-4,37.06955474485907,0.45464099730074
35.0,35.0,train,3.7463457582817333E-4,76.24921089392888,0.6603180035035547
36.0,36.0,train,4.4497199321500336E-5,7.530664366529114,0.1875798259470836
37.0,37.0,train,2.545763121930791E-4,60.011871265879265,0.5691444102270821
38.0,38.0,train,3.5949099081152805E-4,74.99819273361096,0.6510027211692047
39.0,39.0,train,4.5764474917437537E-4,81.52321608848584,0.7036737551506989
40.0,40.0,train,7.035021244678825E-5,11.690405937368787,0.26741970177334456
41.0,41.0,train,2.3277181947326575E-4,56.35148571732833,0.5470650596375117
42.0,42.0,train,1.7148234714378903E-5,2.684050785907111,0.08170944987305712
43.0,43.0,train,3.516817039039386E-4,74.35220026741864,0.6459964567930931
44.0,44.0,train,1.1258125726502798E-4,21.89978452481331,0.3687543997074671
45.0,45.0,train,5.84975542117148E-4,89.03455117196945,0.7521907438191742
46.0,46.0,train,3.3692951313886796E-4,72.92406029811625,0.6361364915614962
47.0,47.0,train,1.9088627747393936E-4,46.42921321141063,0.49760962455305224
48.0,48.0,train,7.119008715303197E-5,11.853821599949557,0.2697510836186914
49.0,49.0,train,1.7489865193166338E-4,41.183397916135156,0.4757608291007965
50.0,50.0,train,1.2278197166487085E-4,24.886719879997546,0.3891636284579623
51.0,51.0,train,1.7584460460102007E-5,2.7771727021465806,0.08361421969870504
52.0,52.0,train,1.8502753972638247E-4,44.48916569599826,0.4898177224131073
53.0,53.0,train,2.1755058576516823E-4,53.29939938402606,0.5302609664743813
54.0,54.0,train,1.5529537826479423E-4,35.49039786978962,0.44623110559755075
55.0,55.0,train,2.856336327928375E-4,64.79818521263633,0.5971178874742773
56.0,56.0,train,2.1690156245146252E-4,53.03769460673547,0.5295166906357691
57.0,57.0,train,1.9717357900704555E-4,48.128403121456316,0.5057110098824319
58.0,58.0,train,2.8516104210767545E-4,64.75388144488466,0.596719465617493
59.0,59.0,train,1.247440146936235E-4,25.565760714233654,0.3929388168792459
60.0,60.0,train,1.5115282383701875E-4,34.029499854392235,0.43955998691014453
61.0,61.0,train,2.697614611655207E-4,62.5992027790003,0.5832911468481268
62.0,62.0,train,7.440691980176987E-5,12.543958669459817,0.2785449811385037
63.0,63.0,train,2.681660047945856E-4,62.23480628128287,0.5818486198617026
